,tweet_id
637988,1344097011956473856
637989,1344096346374955008
637990,1344094110270033920
637991,1344093017825832960
637992,1344092667483992064
637993,1344091687996555264
637994,1344090697784287232
637995,1344090650048749568
637996,1344088828794052608
637997,1344086342108516352
637998,1344086311548891136
637999,1344084987528708096
638000,1344080310967926784
638002,1344077941404270592
638003,1344077862849097728
638004,1344077832842985472
638005,1344077365866082304
638006,1344077334182289408
638007,1344075620418908160
638008,1344075466534170624
638009,1344074808796078080
638010,1344073680264028160
638011,1344071678876413952
638012,1344070288393216000
638013,1344070216700067840
638014,1344068921452863488
638015,1344066670567043072
638016,1344065146658971648
638017,1344064820073484288
638018,1344064563482927104
638019,1344061865291358208
638020,1344061294257696768
638021,1344060638025420800
638022,1344057678935580672
638023,1344057301154467840
638024,1344056867056709632
638025,1344056720448958464
638026,1344055170557071360
638027,1344050365482725376
638028,1344049996958752768
638029,1344049065860993024
638030,1344047801571844096
638031,1344044578941370368
638032,1344042803765129216
638033,1344040585150287872
638034,1344040241959559168
638035,1344039081836212224
638036,1344037636432916480
638037,1344036890698276864
638038,1344036809374838784
638039,1344032702459224064
638040,1344031907462443008
638041,1344031882581827584
638042,1344030632796631040
638043,1344030561606787072
638044,1344030491708678144
638045,1344027417539702784
638046,1344026306745303040
638047,1344025423814877184
638048,1344023906173247488
638049,1344023729718738944
638050,1344021439092060160
638051,1344021310008143872
638052,1344021118278127616
638053,1344021099684786176
638054,1344021090079821824
638055,1344020336619216896
638056,1344016425413914624
638057,1344016048442507264
638058,1344014046367010816
638059,1344010771412430848
638060,1344010762264707072
638061,1344006882319609856
638062,1344006843702497280
638063,1344006783283720192
638064,1344006693785632768
638065,1344006690400854016
638066,1344005228530569216
638067,1344004389963522048
638068,1344004170534309888
638069,1344004145431379968
638070,1344002749776748544
638071,1344002269856067584
638072,1344001887612375040
638073,1343999700219830272
638074,1343999690438811648
638075,1343996577770328064
638076,1343995183243866112
638077,1343994106532392960
638078,1343994095396655104
638079,1343993439696908288
638080,1343992976498774016
638081,1343988837203247104
638082,1343988652876197888
638083,1343988077103116288
638084,1343987733954486272
638085,1343986224797782016
638086,1343985311320317952
638087,1343981882808160256
638088,1343980778246516736
638089,1343980468031680512
638090,1343979698343342080
638091,1343979645574803456
638092,1343978977459920896
638093,1343977488687517696
638094,1343974106270752768
638095,1343972984269242368
638096,1343972904074178560
638097,1343971385576718336
638098,1343970159497719808
638099,1343969415805726720
638100,1343969414262247424
638101,1343969266719027200
638102,1343969256262668288
638103,1343968343359893504
638104,1343968217174257664
638105,1343966745778786304
638106,1343964825559453696
638107,1343964821558059008
638108,1343964325116071936
638109,1343961389203771392
638110,1343958861976371200
638111,1343956725125279744
638112,1343956204993847296
638113,1343956203345477632
638114,1343956145623461888
638115,1343955298843832320
638116,1343951047744749568
638117,1343950741774413824
638118,1343949904272613376
638119,1343948086801027072
638120,1343947939979399168
638121,1343944252540284928
638122,1343943013660299264
638123,1343939791109369856
638124,1343939448283811840
638125,1343939309880168448
638126,1343938582084530176
638127,1343935217879445504
638128,1343931539047010304
638129,1343931287858524160
638130,1343931093536411648
638131,1343930445931700224
638132,1343929026398867456
638133,1343928806273413120
638134,1343927257295802368
638135,1343922519070355456
638136,1343920153969500160
638137,1343919821180776448
638138,1343916818944192512
638139,1343909300239011840
638140,1343907554905235456
638141,1343905573033684992
638142,1343903691766640640
638143,1343903233333473280
638144,1343902854642360320
638145,1343891009386778624
638146,1343888087294701568
638147,1343870387273269248
638148,1343870284525432832
638149,1343865402552684544
638150,1343856170201731072
638151,1343851104707047424
638152,1343850670454136832
638153,1343842372229197824
638154,1343836819578904576
638155,1343835073456398336
638156,1343824244619309056
638157,1343821424339742720
638158,1343820940036202496
638159,1343816346954559488
638160,1343811538151477248
638161,1343809941983944704
638162,1343797380047544320
638163,1343788888540782592
638164,1343788390634774528
638165,1343784044257968128
638166,1343783338247663616
638167,1343769998825811968
638168,1343764267120676864
638169,1343761748323516416
638170,1343760934897070080
638171,1343759936065400832
638172,1343759452130852864
638173,1343756972450050048
638174,1343756829030023168
638175,1343752286632357888
638176,1343752011205009408
638177,1343750541780783104
638178,1343747291362910208
638179,1343745004066504704
638180,1343744051816742912
638181,1343741371446865920
638182,1343740913563131904
638183,1343740319981064192
638184,1343737204418502656
638185,1343735209955622912
638186,1343735209758482432
638187,1343734805326929920
638188,1343734331051802624
638189,1343731984879808512
638190,1343730720070488064
638191,1343728151520628736
638192,1343727838705414144
638193,1343727817033478144
638194,1343722638108200960
638195,1343722540905213952
638196,1343722405852798976
638197,1343719241027973120
638198,1343717482956251136
638199,1343717065765613568
638200,1343714382329634816
638201,1343710902458212352
638202,1343708420319436800
638203,1343704203282231296
638204,1343701006627049472
638205,1343699486862929920
638206,1343698159990661120
638207,1343696988114710528
638208,1343694043646197760
638209,1343692792959299584
638210,1343692128619266048
638211,1343691991025143808
638212,1343691906585403392
638213,1343691818937032704
638214,1343689383531180032
638215,1343686969558249472
638216,1343686826314358784
638217,1343684790877241344
638218,1343683310174793728
638219,1343683170403721216
638220,1343682513911296000
638221,1343682404486148096
638222,1343677999711973376
638223,1343677991264649216
638224,1343677825069412352
638225,1343676176686927872
638226,1343675644887126016
638227,1343675578700980224
638228,1343675062923087872
638229,1343673762923819008
638230,1343671582577856512
638231,1343671523303948288
638232,1343670040030306304
638233,1343669763562758144
638234,1343669216411607040
638235,1343667599905759232
638236,1343667596059668480
638237,1343666985830383616
638238,1343665306636578816
638239,1343664477686870016
638240,1343663344402763776
638241,1343661843273949184
638242,1343659508111974400
638243,1343659429909196800
638244,1343657613326770176
638245,1343653095604178944
638246,1343651824880926720
638247,1343650532418793472
638248,1343650297709797376
638249,1343649888198946816
638250,1343647410917150720
638251,1343645995830226944
638252,1343643879015329792
638253,1343643810593705984
638254,1343643618960138240
638255,1343643291447865344
638256,1343641324281458688
638257,1343641039702208512
638258,1343639352497332224
638259,1343638269901352960
638260,1343638186971394048
638261,1343637784196755456
638262,1343637223212797952
638263,1343636310993485824
638264,1343633021359054848
638265,1343632354145927168
638266,1343632091297193984
638267,1343630232369164288
638268,1343630061010825216
638269,1343630056036380672
638270,1343629844370829312
638271,1343629178969710592
638272,1343628418248749056
638273,1343627266643927040
638274,1343626534062608384
638275,1343623554089115648
638276,1343622159642456064
638277,1343619834224013312
638278,1343618679716651008
638279,1343617940906766336
638280,1343617659070521344
638281,1343617657099210752
638282,1343617582042132480
638283,1343616157589377024
638284,1343613686116732928
638285,1343612942189813760
638286,1343612152100352000
638287,1343608769998106624
638288,1343608220443672576
638289,1343601249543843840
638290,1343597918394052608
638291,1343597800181788672
638292,1343596978308063232
638293,1343594717112635392
638295,1343593792373469184
638296,1343593609484890112
638297,1343591485393018880
638298,1343590993069793280
638299,1343590962422013952
638300,1343590410996760576
638301,1343589852558852096
638302,1343589518897659904
638303,1343589452271267840
638304,1343588351224414208
638305,1343588331641311232
638306,1343587816073293824
638307,1343587618500587520
638308,1343585960974557184
638309,1343585775108108288
638310,1343585192234115072
638311,1343584341037887488
638312,1343584331286110208
638313,1343583653943762944
638314,1343582139502243840
638315,1343580015007510528
638316,1343579983114100736
638317,1343574027521183744
638318,1343572266613936128
638319,1343570867247316992
638320,1343569702195507200
638321,1343568470131286016
638322,1343563126327947264
638323,1343561713938018304
638324,1343560439440007168
638325,1343557700106383360
638326,1343557254407077888
638327,1343556661965967360
638328,1343556355903385600
638329,1343556018488418304
638330,1343553177250103296
638331,1343552928188084224
638332,1343550063868583936
638333,1343548823147315200
638334,1343545715549597696
638335,1343545112828121088
638336,1343544508475191296
638337,1343542677317459968
638338,1343537411322687488
638339,1343533878179471360
638340,1343533435961430016
638341,1343532091867357184
